,0,1,2,3,4,5,6,7,8,9,10
403,<|startoftext|>,the decision will have economic effects,<|and|>,economic impacts affect millions of people,<|notmiddleterm|>,the decision will have ,<|and|>, millions of people,<|so|>,the decision will effect millions of people,<|endoftext|>
546,<|startoftext|>,Cutting marketing results in loosing new customers,<|and|>,Most small companies cut their advertising costs in adverse economic conditions,<|notmiddleterm|>, results in loosing new customers,<|and|>,Most small companies their  in adverse economic conditions,<|so|>,Most small companies lose new customers in adverse economic situations,<|endoftext|>
2150,<|startoftext|>,Hokkaidō is the second largest island in japan.,<|and|>,Mount Tomuraushi is located in Hokkaidō.,<|notmiddleterm|>,is the second largest island in japan.,<|and|>,Mount Tomuraushi is located,<|so|>,Mount Tomuraushi is in japan.,<|endoftext|>
1136,<|startoftext|>,Foods which contain a lot amount of water and fibre will fill you up for relatively few calories.,<|and|>,Fruits and vegetables contain a lot amount of water and fibre.,<|notmiddleterm|>,Foods which will fill you up for relatively few calories.,<|and|>,Fruits and vegetables.,<|so|>,Fruits and vegetables will fill you up for relatively few calories.,<|endoftext|>
894,<|startoftext|>,"When I’m doing research for an article I’m writing, or just want to satisfy my curiosity about something that caught my attention, I use a source in which I’m confident I’ll get a good overview of the topic, and that the information I receive will be generally accurate.",<|and|>,"By using Wikipedia, I’m confident I’ll get a good overview of the topic, and that the information I receive will be generally accurate.",<|notmiddleterm|>,"When I’m doing research for an article I’m writing, or just want to satisfy my curiosity about something that caught my attention, I a source in which",<|and|>,"By Wikipedia,",<|so|>,"When I’m doing research for an article I’m writing, or just want to satisfy my curiosity about something that caught my attention, I use Wikipedia.",<|endoftext|>
80,<|startoftext|>,Bible stories were acted out in churches.,<|and|>,Plays in churches led to discussions among Christians.,<|notmiddleterm|>,Bible stories were,<|and|>, led to discussions among Christians.,<|so|>,Bible stories led to discussions among Christians.,<|endoftext|>
1983,<|startoftext|>,Failure of operation Eagle Claw made USA embarrassed in the world.,<|and|>,Jimmy Carter ordered operation Eagle Claw to rescue american diplomats.,<|notmiddleterm|>,Failure of  made USA embarrassed in the world.,<|and|>,Jimmy Carter ordered,<|so|>,Failure of Jimmy Carter's order made USA embarrassed in the world.,<|endoftext|>
2124,<|startoftext|>,Collision of small bits of ice fills up thundercloud with electrical charges.,<|and|>,Electrical charges within a thundercloud form lightnings.,<|notmiddleterm|>,Collision of small bits of ice,<|and|>,form lightnings.,<|so|>,Collision of small bits of ice form lightnings.,<|endoftext|>
1195,<|startoftext|>,Conscientious people achieve more in school and job.,<|and|>,Having achievements in the life improves the self-confidence.,<|notmiddleterm|>,Conscientious people more in school and job.,<|and|>,Having in the life improves the self-confidence.,<|so|>,Conscientious people are having more self-confidence.,<|endoftext|>
2568,<|startoftext|>,containerization allows for automated handling and transfer between modes,<|and|>,"the use of mechanical lifting and relocation between different means of transport,has been one of the key driving factors in international trade and globalization since the 1950s",<|notmiddleterm|>,containerization,<|and|>,",has been one of the key driving factors in international trade and globalization since the 1950s",<|so|>,containerization has been one of the key driving factors in international trade and globalization since the 1950s,<|endoftext|>
2433,<|startoftext|>,It is vital for a successful business plan to identify the core competency of your business,<|and|>,Spotting what different capability your business owns is often associated with bigger gains,<|notmiddleterm|>,It is vital for a successful business plan,<|and|>, is often associated with bigger gains,<|so|>,A successful business plan is often associated with bigger gains,<|endoftext|>
1321,<|startoftext|>,Cultural experiences will grant you remarkable insights and sweet memories,<|and|>,"Transnational tourism routes like the Silk Road can function as gateways to local cultural experiences, and place tradition alongside modernity and a global outlook.",<|notmiddleterm|>, will grant you remarkable insights and sweet memories,<|and|>,"Transnational tourism routes like the Silk Road can function as gateways to, and place tradition alongside modernity and a global outlook.",<|so|>,Silk road can grant tourists a remarkable insight and sweet memories.,<|endoftext|>
1816,<|startoftext|>,The vibration produces vocal sounds.,<|and|>,"Air from our lungs passes through the tightened cords named larynx, and produce vibration.",<|notmiddleterm|>, produces ,<|and|>,"Air from our lungs passes through the tightened cords named , and ",<|so|>,"Air from our lungs passes through the tightened cords named larynx, and produces vocal sounds.",<|endoftext|>
2502,<|startoftext|>,the reduction in the melting point of the overlying mantle wedge contributes to the production of magma,<|and|>,"In a process called flux melting, water released from the subducting plate lowers the melting temperature of the overlying mantle wedge",<|notmiddleterm|>, contributes to the production of magma,<|and|>,"In a process called flux melting, water released from the subducting plate",<|so|>,"In a process called flux melting, water released from the subducting plate contributes to the production of magma",<|endoftext|>
1211,<|startoftext|>,"In closed areas, high levels of carbon dioxide can lead to health complaints such as headaches.",<|and|>,Carbon dioxide comes from burning coal,<|notmiddleterm|>,"In closed areas, high levels of  can lead to health complaints such as headaches.",<|and|>, comes from burning coal,<|so|>,"burning high levels of coal in closed areas, can lead to health complaints such as headaches.",<|endoftext|>
453,<|startoftext|>,Getting familiar with new words fastens the process of learning a foreign language,<|and|>,Reading helps you gain exposure to words used in context,<|notmiddleterm|>, fastens the process of learning a foreign language,<|and|>,Reading helps youused in context,<|so|>,Reading fastens the process of learning a foreign language,<|endoftext|>
538,<|startoftext|>,Safety levels are decreased when people take actions that put themselves and others in danger,<|and|>,Higher rates of criminal activity might lead to people taking dangerous actions by themselves,<|notmiddleterm|>,Safety levels are decreased when  that and others,<|and|>,Higher rates of criminal activity might lead to  by ,<|so|>,Higher rates of criminal activity negatively impact safety levels,<|endoftext|>
1673,<|startoftext|>,Changing ocean currents can result in removing fishes and ocean plant life.,<|and|>,killing fishes and sea bushes growth could result in global food shortage.,<|notmiddleterm|>,Changing ocean currents can result in ,<|and|>,could result in global food shortage.,<|so|>,changing ocean current can result in global food shortage.,<|endoftext|>
664,<|startoftext|>,Companies that have horizontal demand curves for their products typically operate in industries where many competitors exist,<|and|>,Companies with horizontal demand curves risk losing their customer base when they raise prices,<|notmiddleterm|>,that for their products typically operate in where many competitors exist,<|and|>, risk losing their customer base when they raise prices,<|so|>,"Companies who operate in industries where many competitors exist,risk losing their customer base when they raise prices",<|endoftext|>
1177,<|startoftext|>,Overusing vitamin C could positively cause flatulence.,<|and|>,Potatoes hold much of Vitamin C.,<|notmiddleterm|>,Overusing  could positively cause flatulence.,<|and|>,Potatoes hold much of ,<|so|>,Too much potatoes could surely lead to flatulence,<|endoftext|>
2062,<|startoftext|>,British presence in Iran during World War I brought widespread mass famine.,<|and|>,Widespread mass famine made 8–10 million Iranians starve to death.,<|notmiddleterm|>,British presence in Iran during World War I ,<|and|>, made 8–10 million Iranians starve to death.,<|so|>,British presence in Iran during World War I made 8–10 million Iranians starve to death.,<|endoftext|>
2350,<|startoftext|>,The moisture in the air is higher in homes with humid conditions,<|and|>,High humidity provides an ample food source for mold spores,<|notmiddleterm|>, is higher in homes with humid conditions,<|and|>,provides an ample food source for mold spores,<|so|>,Homes with humid conditions provide an ample food source for mold spores,<|endoftext|>
1619,<|startoftext|>,"when people are integrated, they can help each other with more convenient ways in problems.",<|and|>,Smartphones play an important role in the communication process of people.,<|notmiddleterm|>,when  they can help each other with more convenient ways in problems.,<|and|>,Smartphones play an important role in the ,<|so|>,Smartphones play an important role in helping each other with more convenient ways in problems,<|endoftext|>
1231,<|startoftext|>,Focusing on work is a great excuse for not taking care of yourself.,<|and|>,Taking care of oneself is closely interwoven with being concerned with the welfare of the society,<|notmiddleterm|>,Focusing on work is a great excuse for,<|and|>, is closely interwoven with being concerned with the welfare of the society,<|so|>,Focusing on work is closely interwoven with not being concerned with the welfare of the society,<|endoftext|>
457,<|startoftext|>,Weight gain fastens when fat storage is increased,<|and|>,Increased production of cortisol increases fat storage,<|notmiddleterm|>,Weight gain fastens when ,<|and|>,Increased production of cortisol,<|so|>,Increased production of cortisol fastens weight gain,<|endoftext|>
2274,<|startoftext|>,Expanding the sources of earnings is especially important for rural communities,<|and|>,Tourism allows a community to diversify their sources of income,<|notmiddleterm|>, is especially important for rural communities,<|and|>,Tourism allows a community to ,<|so|>,Tourism is especially important for rural communities,<|endoftext|>
1650,<|startoftext|>,defensive pessimism actually helps anxious people focus away from their emotions.,<|and|>,Thinking independently from feelings can help people plan and act effectively.,<|notmiddleterm|>,defensive pessimism actually helps anxious people ,<|and|>, can help people plan and act effectively.,<|so|>,defensive pessimism actually helps anxious people plan and act effectively.,<|endoftext|>
927,<|startoftext|>,"People who do not get enough vitamin A, may develop a condition that dries the eyes.",<|and|>,"Developing a condition that dries the eyes, can result in infections and lead to blindness.",<|notmiddleterm|>,"People who do not get enough vitamin A, may ",<|and|>,", can result in infections and lead to blindness.",<|so|>,"People who do not get enough vitamin A, may result in infections and lead to blindness.",<|endoftext|>
2458,<|startoftext|>,"Mitigating the influences of standstills in car traffic, will help solve the influx problem which plague many cities",<|and|>,Smart mobility is able to alleviate traffic gridlocks,<|notmiddleterm|>,", will help solve the influx problem which plague many cities",<|and|>,Smart mobility is able to,<|so|>,Smart mobility will help solve the influx problem which plague many cities,<|endoftext|>
392,<|startoftext|>,the pores on our skin open after showering,<|and|>,"when your pores are open , you're prone to getting acne",<|notmiddleterm|>, after showering,<|and|>,"when , you're prone to getting acne",<|so|>,you're prone to getting acne after showering,<|endoftext|>
1796,<|startoftext|>,The rise of body fat results in obesity.,<|and|>,Cholesterol consumption increase the boy fat.,<|notmiddleterm|>,results in obesity.,<|and|>,Cholesterol consumption ,<|so|>,Cholesterol consumption results in obesity.,<|endoftext|>
1840,<|startoftext|>,Storage of important files eases the accessibility.,<|and|>,Hard drives are used to store the essential files.,<|notmiddleterm|>, eases the accessibility.,<|and|>,Hard drives are used to ,<|so|>,Hard drives ease the accessibility,<|endoftext|>
772,<|startoftext|>,It's possible to manage income more effectively through financial planning,<|and|>,A better governance over your income will help you to understand how much money you'll need for tax payments,<|notmiddleterm|>,It's possible to  through planning,<|and|>,A your  will help you to understand how much you'll need for tax payments,<|so|>,It's possible to understand how much money you'll need for tax payments through financial planning,<|endoftext|>
1038,<|startoftext|>,"Growing Daffodils is so easy, you should keep the bulbs feel firm.",<|and|>,"For keeping the bulbs feel firm, any bulbs that are soft should be discarded.",<|notmiddleterm|>,"Growing Daffodils is so easy, you should ",<|and|>,"For, any bulbs that are soft should be discarded.",<|so|>,"Growing Daffodils is so easy, you should discard any bulls that are soft.",<|endoftext|>
2016,<|startoftext|>,The Penguin purchased the ice factory.,<|and|>,Buying an ice company requires large investment.,<|notmiddleterm|>,The Penguin ,<|and|>, requires large investment.,<|so|>,The Penguin required to make large investment.,<|endoftext|>
2492,<|startoftext|>,the existence of the squashy sort under the harder level means that undercutting due to splashback will occur here,<|and|>,the rock stratum just below the more resistant shelf is often of a softer type,<|notmiddleterm|>, means that undercutting due to splashback will occur here,<|and|>,the rock stratum,<|so|>,undercutting due to splashback will occur in the rock stratum,<|endoftext|>
173,<|startoftext|>,Motorists involved in a stressful or emotional phone conversation may inadvertently exhibit aggressive behavior.,<|and|>,Drivers who engage in road rage tend to vent their stress or frustration on other motorists who share the road.,<|notmiddleterm|>,involved in a stressful or emotional phone conversation may,<|and|>, tend to vent their stress or frustration on other motorists who share the road.,<|so|>,Motorists involved in a stressful or emotional phone conversation may vent their stress or frustration on other motorists who share the road,<|endoftext|>
1260,<|startoftext|>,"Aflatoxin exposure is associated with liver cancer, stunted growth in children and mental retardation.",<|and|>,"Peanuts grow underground, where they tend to be colonized by an ubiquitous mold called Aspergillus, one of aflatoxin sources.",<|notmiddleterm|>,"exposure is associated with liver cancer, stunted growth in children and mental retardation.",<|and|>,"Peanuts grow underground, where they tend to be colonized by an ubiquitous mold called Aspergillus, one of sources.",<|so|>,Peanut butter has been associated with an increased risk of liver cancer.,<|endoftext|>
539,<|startoftext|>,criminal organizations disrupt the social order of a community,<|and|>,The ones who are able to upside-down the social order can easily assume control of a community,<|notmiddleterm|>,criminal organizations  of ,<|and|>,The ones who are able to can easily assume control of ,<|so|>,Criminal organizations can easily assume control of a community,<|endoftext|>
1857,<|startoftext|>,The reign over Russia led to the cultural upsurge in the territory.,<|and|>,Peter Alexeyevich proclaimed Russia the empire.,<|notmiddleterm|>,led to the cultural upsurge in the territory.,<|and|>,Peter Alexeyevich ,<|so|>,Peter Alexeyevich led to the cultural upsurge in the territory.,<|endoftext|>
1613,<|startoftext|>,These ubiquitous communication tools allow students to reach their parents instantly.,<|and|>,"When you find your parents immediately, you will have extra time to study.",<|notmiddleterm|>,These ubiquitous communication tools allow students their ,<|and|>,"When youyour , you will have extra time to study.",<|so|>,These ubiquitous communication tools allow students to have extra time to study.,<|endoftext|>
1495,<|startoftext|>,growing sources can contribute to the preservation of culture and cultural sites.,<|and|>,The introduction of tourists to sensitive areas can increase resources.,<|notmiddleterm|>, can contribute to the preservation of culture and cultural sites.,<|and|>,The introduction of tourists to sensitive areas ,<|so|>,The introduction of tourists to sensitive areas can contribute to the preservation of culture and cultural sites,<|endoftext|>
2234,<|startoftext|>,Tesla cars are equipped with auto-pilot technology.,<|and|>,remotely operating cars may instigate catastrophic car accidents.,<|notmiddleterm|>,Teslawith ,<|and|>, may instigate catastrophic car accidents.,<|so|>,Tesla carsmay instigate catastrophic car accidents.,<|endoftext|>
591,<|startoftext|>,It's important to encourage children to keep going even if they fail,<|and|>,Inspiring children in the times of failure gives them the self-esteem needed for dismissing setbacks,<|notmiddleterm|>,It's important to to keep going even if they ,<|and|>, in the times of gives them the self-esteem needed for dismissing setbacks,<|so|>,It's important to give children the self-esteem needed for dismissing setbacks,<|endoftext|>
2681,<|startoftext|>,placing the station underground is especially important in areas where the on-ground area is already exploited,<|and|>,in high-density urban precincts ground-level spaces are heavily utilised,<|notmiddleterm|>,placing the station underground is especially important in areas ,<|and|>,in high-density urban precincts ,<|so|>,placing the station underground is especially important in high-density urban precincts,<|endoftext|>
1425,<|startoftext|>,physical activities help humans to keep being well and strong.,<|and|>,people should be healthy to continue a good life.,<|notmiddleterm|>,physical activities help humans to ,<|and|>,people  to continue a good life.,<|so|>,physical activities help hmans to continue a good life.,<|endoftext|>
188,<|startoftext|>,Cutting-edge knowledge is available in developed countries.,<|and|>,Developing countries should seek cutting-edge knowledge to develop.,<|notmiddleterm|>, is available in developed countries.,<|and|>,Developing countries should seek  to develop.,<|so|>,Developing countries should seek cutting-edge knowledge in developed countries to develop.,<|endoftext|>
2276,<|startoftext|>,"A good infrastructure, makes the flow of goods and services possible",<|and|>,Tourism is greatly dependent on the efficient movement of products and utilities,<|notmiddleterm|>,"A good infrastructure, ",<|and|>,Tourism is greatly dependent on the ,<|so|>,Tourism is greatly dependent on a good infrastructure,<|endoftext|>
1550,<|startoftext|>,people with bipolar disorder are unable to control emotions.,<|and|>,people who can not control their feelings tend to intense anxiety and irritability .,<|notmiddleterm|>,people with bipolar disorder are,<|and|>,people who  tend to intense anxiety and irritability .,<|so|>,people with bipolar disorder tend to intense anxiety and irritability.,<|endoftext|>
2086,<|startoftext|>,Amir Kabir founded the Dar Al-Fonoun.,<|and|>,Dar Al-Fonoun can be considered the first university in the modern history of Iran.,<|notmiddleterm|>,Amir Kabir founded the ,<|and|>, can be considered the first university in the modern history of Iran.,<|so|>,Amir Kabir founded the first university in the modern history of Iran.,<|endoftext|>
817,<|startoftext|>,The atmosphere of Mars have water and molecules.,<|and|>,When planets' atmospheres have water and molecules that could be due to biological activity,<|notmiddleterm|>,The of Mars ,<|and|>,When planets'  that could be due to biological activity,<|so|>,In Mars could be biological activity.,<|endoftext|>
1478,<|startoftext|>,most of the items that you have in your home today are automated.,<|and|>,"self-regulation makes life more comfortable, organized, and safer.",<|notmiddleterm|>,most of the items that you have in your home today .,<|and|>,"makes life more comfortable, organized, and safer.",<|so|>,"most of the items that you have in your home today make life more comfortable, organized, and safer.",<|endoftext|>
1120,<|startoftext|>,Scientists believe that factors that make people's self-steem low are main reason of eating disorders.,<|and|>,"Medias like Tv, magazines, social medias make people's self-steem low.",<|notmiddleterm|>,Scientists believe that factors that  are main reason of eating disorders.,<|and|>,"Medias like Tv, magazines, social medias ",<|so|>,"Scientists believe that Medias like Tv, magazines and social medias are main reasons of eating disorders.",<|endoftext|>
642,<|startoftext|>,Most of us get frustrated with people who speak more than they're able to do,<|and|>,Over promising is often seen in politicians,<|notmiddleterm|>,Most of us get frustrated with people who ,<|and|>, is often seen in politicians,<|so|>,Most of us get frustrated with politicians,<|endoftext|>
56,<|startoftext|>,education will give people more self-confidence,<|and|>,Self-reliance can improve social status in communities.,<|notmiddleterm|>,education will  people ,<|and|>,can improve social status in communities.,<|so|>,education will improve social status in communities.,<|endoftext|>
76,<|startoftext|>,one of the reasons for child labour is that their families are extremely poor.,<|and|>,poverty is a result of parents' illness.,<|notmiddleterm|>,one of the reasons for child labour is that their families ,<|and|>,is a result of parents' illness.,<|so|>,one of the reasons for child labour is parents' illness.,<|endoftext|>
2528,<|startoftext|>,the numbness and the few number of the GABAA receptors brings about tolerance and physical dependence,<|and|>,"With repeated heavy consumption of alcohol, GABAA receptors are desensitized and reduced in number",<|notmiddleterm|>, brings about tolerance and physical dependence,<|and|>,"With repeated heavy consumption of alcohol, ",<|so|>,repeated heavy consumption of alcohol brings about tolerance and physical dependence,<|endoftext|>
620,<|startoftext|>,Bilinguals have the unique opportunity to communicate with a wider range of people,<|and|>,Having numerous connections comes in handy when applying for jobs,<|notmiddleterm|>,Bilinguals have the unique opportunity to ,<|and|>, comes in handy when applying for jobs,<|so|>,Bilinguals have the unique opportunity to apply for a wider range of jobs,<|endoftext|>
55,<|startoftext|>,nowadays people can share information with millions of people via the Internet,<|and|>,sharing information with many people can bring in too many opinions,<|notmiddleterm|>,nowadays people can  via the Internet,<|and|>, can bring in too many opinions,<|so|>,nowadays people can easily have access to many opinions,<|endoftext|>
714,<|startoftext|>,An enhanced short-term memory helps us remember details better,<|and|>,Doing Jigsaw puzzles are especially good for improving short-term memory,<|notmiddleterm|>,Anhelps us remember details better,<|and|>,Doing Jigsaw puzzles are especially good for,<|so|>,Doing jigsaw puzzles help us remember details better,<|endoftext|>
837,<|startoftext|>,Suitable place for growthing roses is a place that they can get sunshine for about six hours on bright days.,<|and|>,You should plant your roses where is suitable for growthing them.,<|notmiddleterm|>, is a place that they can get sunshine for about six hours on bright days.,<|and|>,You should plant your where isthem,<|so|>,You should plant your roses where a place that they can get sunshine for about six hours on bright days.,<|endoftext|>
883,<|startoftext|>,"Removing wild birds of their nature happens when people cause them to stray from their natural habits and ignore their instincts, and instead rely on the easy answers we’ve provided.",<|and|>,Feeding wild birds have some negative impact on birds like removing them of their natures.,<|notmiddleterm|>," happens when people cause them to stray from their natural habits and ignore their instincts, and instead rely on the easy answers we’ve provided.",<|and|>,Feedinghave some negative impact on birds like ,<|so|>,"Feeding wild birds have some negative impact on birds like when people cause them to stray from their natural habits and ignore their instincts, and instead rely on the easy answers we’ve provided.",<|endoftext|>
1532,<|startoftext|>,calming the body is an effective method to enhance sleep,<|and|>,Progressive muscle relaxation involves tensing and unsensing different muscles in the body to help soothe the body.,<|notmiddleterm|>, is an effective method to enhance sleep,<|and|>,Progressive muscle relaxation involves tensing and unsensing different muscles in the body to help ,<|so|>,Progressive muscle relaxation involves tensing and untensing different muscles in the body to enhance sleep.,<|endoftext|>
145,<|startoftext|>,"Protecting antinutrients impair the digestion and absorption of certain nutrients, such as calcium, iron, zinc, and magnesium.",<|and|>,Almonds also harbor antinutrients.,<|notmiddleterm|>," impair the digestion and absorption of certain nutrients, such as calcium, iron, zinc, and magnesium.",<|and|>,Almonds also ,<|so|>,"Almonds also impair the digestion and absorption of certain nutrients, such as calcium, iron, zinc, and magnesium.",<|endoftext|>
1158,<|startoftext|>,I slept for a short time at work yesterday,<|and|>,taking a nap means sleeping for a short period of time,<|notmiddleterm|>,I at work yesterday,<|and|>,taking a nap means ,<|so|>,I took a nap at work yesterday,<|endoftext|>
619,<|startoftext|>,Drinking water is known to help with weight loss,<|and|>,Losing extra weight contributes to a healthy lifestyle,<|notmiddleterm|>,Drinking water is known to help with ,<|and|>,extra contributes to a healthy lifestyle,<|so|>,Drinking water contributes to a healthy lifestyle,<|endoftext|>
2310,<|startoftext|>,refreshed indoor air is necessary for a healthy lifestyle,<|and|>,The use of sustainable materials can help with the purification of the air,<|notmiddleterm|>, is necessary for a healthy lifestyle,<|and|>,The use of sustainable materials can ,<|so|>,The use of sustainable materials is necessary for a healthy lifestyle,<|endoftext|>
755,<|startoftext|>,Digital marketing is more affordable than traditional marketing,<|and|>,For small businesses a suitable marketing model is the one that comes with the smallest cost,<|notmiddleterm|>,Digital is  than traditional ,<|and|>,For small businesses a suitable model is the one that comes,<|so|>,"For small businesses, digital marketing is more suitable than traditional marketing",<|endoftext|>
531,<|startoftext|>,Guilt increases pressure and can lead to depression,<|and|>,feelings of guilt are a very common effect of divorce in children,<|notmiddleterm|>,increases pressure and can lead to depression,<|and|>,feelings of are a very common effect of divorce in children,<|so|>,Common effects of divorce in children can lead to depression,<|endoftext|>
521,<|startoftext|>,People with overwhelming isolation and feelings of loneliness could suffer from great stress,<|and|>,women have had abortions get distant from people,<|notmiddleterm|>,People with  could suffer from great stress,<|and|>,women have had abortions ,<|so|>,Women who have had abortions could suffer from great stress,<|endoftext|>
767,<|startoftext|>,Shy children might benefit from situations which do not require direct contact with the other side,<|and|>,"When chatting online , you do not look into the eyes of the person you're interacting with",<|notmiddleterm|>,Shy children might benefit from situations which,<|and|>,"When chatting online , you",<|so|>,Shy children might benefit from online chatting,<|endoftext|>
409,<|startoftext|>,massage increases blood flow in the body,<|and|>,increased blow flow decreases the risks of venous disorders,<|notmiddleterm|>,massagein the body,<|and|>, decreases the risks of venous disorders,<|so|>,massage decreases the risks of venous disorders,<|endoftext|>
2457,<|startoftext|>,Technology will be increasingly used to create man-made wetlands,<|and|>,The establishment of artificial swamplaneds is essential for ecological balance.,<|notmiddleterm|>,Technology will be increasingly used to,<|and|>, is essential for ecological balance.,<|so|>,Technology is essential for ecological balance,<|endoftext|>
1067,<|startoftext|>,"Scientists view humans as a species of animal, and largely accept that many species (both vertebrates and invertebrate) are capable of learning and some level of self-awareness.",<|and|>,"If a species of animal are capable of learning and some level of self-awareness, It could feel pain.",<|notmiddleterm|>,"Scientists view humans as a species of animal, and largely accept that many (both vertebrates and invertebrate)",<|and|>,"If a of animal, It could feel pain.",<|so|>,"Scientists view humans as a species of animal, and largely accept that many species (both vertebrates and invertebrate) are capable of learning and it could feel pain",<|endoftext|>
2691,<|startoftext|>,aggreements must be carefully considered,<|and|>,A contract is the exchange of a set of obligations between two or more parties.,<|notmiddleterm|>,must be carefully considered,<|and|>,A is the exchange of a set of obligations between two or more parties.,<|so|>,"the exchange of sets of obligations between two or more parties,must be carefully considered",<|endoftext|>
1943,<|startoftext|>,Washing vegetables before consumption removes the bacteria and viruses.,<|and|>,Elimination of health-threatening elements preserves digestive system from failure.,<|notmiddleterm|>,Washing vegetables before consumption ,<|and|>,preserves digestive system from failure.,<|so|>,Washing vegetables preserves digestive system from failure.,<|endoftext|>
1226,<|startoftext|>,"If you’re not growing, you’re not being intelligent",<|and|>,"If you’re not changing, you’re not growing.",<|notmiddleterm|>,", you’re not being intelligent",<|and|>,"If you’re not changing, ",<|so|>,If you’re not changing you’re not being intelligent,<|endoftext|>
469,<|startoftext|>,Finding yourself in a lower social scale increases status competition,<|and|>,Income inequality places people in a steep hierarchy,<|notmiddleterm|>,yourself  increases status competition,<|and|>,Income inequality people,<|so|>,Income inequality increases status competition,<|endoftext|>
2230,<|startoftext|>,Anchorman grossed significant amount of money in theaters.,<|and|>,high-selling movies make name in cinema industry.,<|notmiddleterm|>,Anchorman ,<|and|>, make name in cinema industry.,<|so|>,Anchorman make name in cinema industry.,<|endoftext|>
